Snapshot,P_Disk,P_Irr,P_Spheroid,SubhaloID
25,0.5724446,0.9558892,0.044787824,20567
25,0.4116914,0.53505045,0.4575633,20569
25,0.59715194,0.57671654,0.7186916,21549
25,0.71685433,0.89679396,0.005622834,21550
25,0.26118186,0.9766402,0.00067308545,21551
25,0.45438564,0.97370857,0.0045856237,21552
25,0.75486326,0.38863665,0.0045615435,21553
25,0.016590625,0.40545228,0.07832998,21557
25,0.009201795,0.97467494,6.4296575e-05,23047
25,0.16254354,0.9765837,0.00033417344,23048
25,0.00016790628,0.83610004,0.0010641217,23049
25,0.6124257,0.9564909,0.006552875,23050
25,6.1932553e-07,0.52452624,0.00095900893,23051
25,0.00020480156,0.74676704,0.0022703707,23052
25,0.6403916,0.24978966,0.10977042,24656
25,0.10731727,0.9531344,0.00046920776,24657
25,0.77131486,0.87358975,0.13783982,25621
25,0.33382368,0.9612925,4.4309774e-05,25622
25,0.008095473,0.4665206,0.0041238666,25623
25,0.67142206,0.8567444,0.008979082,25624
25,0.54370546,0.64155793,0.047293216,25626
25,0.34663773,0.98940223,0.0022446811,26704
25,4.831021e-06,0.8231256,0.00025361776,26705
25,0.0014768243,0.64049304,0.0018416047,26706
25,0.16209689,0.9891995,0.022126287,27873
25,0.010361284,0.6221265,0.012337536,27874
25,0.7104205,0.6039132,0.017321467,27875
25,5.7372505e-05,0.47775507,0.0008364022,27876
25,0.056265682,0.3981703,0.020581096,28912
25,0.69957805,0.35072258,0.0029045343,28913
25,0.5929028,0.8813126,0.008783758,28914
25,7.469574e-05,0.79356396,0.00080779195,28915
25,0.7328459,0.3377867,0.15514544,29723
25,0.14645436,0.9442185,0.004784763,29724
25,0.13240197,0.99083877,0.0015632212,30634
25,0.70961434,0.68783796,0.0046596527,30635
25,0.67720294,0.5114631,0.0061578453,30636
25,0.67581505,0.8402968,0.009993464,30637
25,0.680698,0.5973733,0.0120948255,30638
25,0.551589,0.9204726,0.005062282,30639
25,0.31946063,0.98290217,0.0028888881,32018
25,0.45325676,0.9679055,0.01872313,32019
25,0.5410345,0.9890868,0.0023152232,33084
25,0.29209667,0.9633492,0.0013231933,33085
25,0.0045011938,0.61795187,0.002380401,33086
25,0.4936289,0.99538153,0.17503342,34088
25,1.6547328e-05,0.40378562,0.00032517314,34089
25,0.5944635,0.8965763,0.035866976,34090
25,0.64197725,0.73546296,0.040410936,34091
25,0.025227875,0.9752914,6.6405926e-05,34981
25,0.00092065334,0.97915614,0.00016966462,34982
25,0.2600466,0.95291114,0.0031564534,34983
25,0.7064116,0.73647976,0.0035672784,35928
25,0.59646076,0.9535148,0.011630654,35929
25,0.4001856,0.9558443,0.004373431,35930
25,1.4501649e-06,0.4096055,0.0011808276,35934
25,0.7161101,0.92927396,0.012052834,37062
25,0.5526307,0.6672765,0.22028723,37064
25,0.40816972,0.9515985,0.024096072,37903
25,0.021075904,0.8919579,0.0014816523,37904
25,0.5179021,0.99083734,0.040560663,39082
25,0.0032592118,0.96495116,3.668896e-05,39760
25,0.021363825,0.98407507,0.000749141,40427
25,0.31370693,0.9677485,0.00024023652,41086
25,0.3463573,0.9034994,0.020601183,41823
25,0.62510496,0.9168222,0.0066105425,41824
25,0.772419,0.54781485,0.006275147,41825
25,0.6329073,0.553803,0.6935214,42584
